Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1990","1990","%","11.165635","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1991","1991","%","4.924732","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1992","1992","%","6.851222","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1993","1993","%","1.813093","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1994","1994","%","6.688478","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1995","1995","%","10.903396","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1996","1996","%","2.106206","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1997","1997","%","-0.465251","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1998","1998","%","-0.556108","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","1999","1999","%","3.781748","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2000","2000","%","2.884671","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2001","2001","%","-0.469471","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2002","2002","%","4.031555","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2003","2003","%","12.293701","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2004","2004","%","12.632542","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2005","2005","%","8.365222","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2006","2006","%","8.393677","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2007","2007","%","12.789441","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2008","2008","%","9.72552","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2009","2009","%","-5.152038","Fc","Calculated data",""
"MK","Macro Indicators","5000","World","6129","Annual growth US$","22008","Gross Domestic Product","2010","2010","%","9.457443","Fc","Calculated data",""
